sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Karimäki;Johanna;5418;02 Uusimaa;VIHR;0.00237694567859837;0.0134963505732019;0.432858132706044;0.00669462625292644;0.00283600039111577;0.000335757218094122;0.000651130554201328;0.00244627813914437;0.00804070400928016;0.0562438048985401;0.00466078577480147;0.00191045747180035;0.00298863705738;0.0292450888300024;0.435215300444869;vihr;1
Karinen;Ville;5450;02 Uusimaa;VAS;0.00187171261563431;0.000103334132328041;0.00116307063930001;3.08241169516376e-05;0.00187483790942481;8.31963134537114e-05;0.0300071401611399;0.000516434519119071;0.00211967527006719;0.00179455552870586;0.0838166874167219;0.0219729621589247;0.00429535751309447;0.632277847056188;0.218072364648946;vas;1
Karisma;Petri;5444;07 Pirkanmaa;SDP;0.000337216062561614;0.00531351794397563;0.0395912546469873;0.390081792880387;0.00504518270245841;0.0237862176686385;0.103567184213175;0.149317273847355;0.0366207659155043;0.0405105806525083;0.165624306328347;0.000120732904326443;0.00259502379391051;0.00423734436751477;0.0332516060723508;kok;0
Karjalainen;Anne;5683;02 Uusimaa;SDP;1.65869209486574e-06;0.00565351447116547;0.000483701608357121;0.00131750622929852;0.000207036312578476;4.02855457256504e-06;2.9999670211934e-05;6.91546124181584e-05;0.000653961309648925;0.0159058940368367;0.969453889030173;7.81669794620624e-05;0.000194571958286695;0.00589963554239474;4.72809925012526e-05;sdp;1
Karjalainen;Miisa;5574;07 Pirkanmaa;VIHR;0.00626903678943513;0.0195054349132194;0.146628864507514;0.135789202099171;0.00935741784545126;0.042674477033754;0.0294658837552237;0.153777217089729;0.028037550467415;0.0140830907058462;0.103047247347289;0.00270182650557296;0.00918832185439413;0.0212486467896095;0.278225782296376;vihr;1
Karjalainen;Olli-Pekka;5333;10 Vaasa;KOK;6.04196343730198e-05;0.00158207583179037;0.0590025402309709;0.907202811677217;0.000905140121054303;0.00144781013359348;0.00124021996341235;0.00404866496126324;0.00324648472687641;0.0170338931309159;0.00194818055304377;5.87742021546473e-05;0.00191727888565904;3.04779830624962e-05;0.000275227964613596;kok;1
Karjalainen;Pasi;5140;06 Häme;SDP;0.000597636814447525;0.00291311069738479;0.0531311097761058;0.0132214136939278;0.00499205996925577;0.0112627390929912;0.0104118345862659;0.0307869567246715;0.0118268730633547;0.00466116689474902;0.762955604777599;0.00128808011283938;0.00930832080874916;0.0634756121577373;0.0191674808299209;sdp;1
Karjalainen;Pirkko;4787;02 Uusimaa;KESK;0.000213134409815239;0.00327745150600167;0.892166663105952;0.048728400629257;0.000906736448767683;0.000506773886467778;0.00503253066022959;0.0029124042625656;0.00639345043230983;0.00587095348588219;0.00220726060374501;5.5940264092835e-05;0.000722461310935348;0.000448422336730026;0.0305574166572482;kesk;1
Karjalainen;Riitta;5106;03 Varsinais-Suomi;KESK;0.0117545917875232;0.00192444829772192;0.236991276125525;0.00779625827533276;0.00706420212688095;0.0295711405957173;0.0326084945513187;0.0311242858669731;0.0218787099598642;0.00217712536412375;0.232867867607807;0.00475570580020848;0.00738804249164705;0.115265412688758;0.256832438460599;vihr;0
Karjalainen;Seppo;4781;12 Oulu;VAS;0.00918814548565944;0.00119825328684913;0.061081176172384;0.0002780774160716;0.00578281278619147;0.000640282430265929;0.00315832788046075;0.00576974928717039;0.00846854230882343;0.000717661790047492;0.152051540850126;0.0503946121413915;0.0196574742965817;0.625059437872987;0.0565539059949905;vas;1
Karjalainen;Sirpa;4487;09 Savo-Karjalan vaalipiiri;VAS;0.00205298484745169;0.000601291220357126;0.0259809993709591;0.000139723497797539;0.00248682889621509;0.000111978598093155;0.0137242833817715;0.00226154006669524;0.00492473099743209;0.00224993935427583;0.086676007016093;0.019055951117588;0.00575967314206129;0.802577541989231;0.0313965265039783;vas;1
Karlsson;Anette;4401;02 Uusimaa;SDP;1.00726748472875e-05;0.00011503445852664;0.00111390353190102;0.000197905808085188;0.00044586617143468;5.49709224523866e-05;0.000142535304540861;5.73745429619845e-05;0.00112797689107444;0.00704764649379018;0.961126339662784;0.00114798028549678;0.000854577249262347;0.0264236506097532;0.000134165393089059;sdp;1
